,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688750,金天钛业,22.26,3.49,0.75,0.0,13.42,2.63,4.7,2.31亿,0.77亿,17.23亿,66.08
1,2,002149,西部材料,18.0,2.51,0.44,0.0,2.71,0.91,5.3,2.39亿,4.88亿,87.87亿,47.81
2,3,600281,华阳新材,3.41,2.4,0.08,0.0,1.89,0.69,4.8,0.33亿,5.14亿,17.54亿,--
3,4,002378,章源钨业,6.7,2.13,0.14,-0.15,1.25,1.28,3.66,1.00亿,11.95亿,80.07亿,41.19
4,5,002842,翔鹭钨业,6.5,2.04,0.13,0.15,1.5,0.67,3.14,0.22亿,2.20亿,14.27亿,--
5,6,002167,东方锆业,7.61,1.47,0.11,0.26,3.21,0.77,3.07,1.86亿,7.59亿,57.74亿,--
6,7,600301,华锡有色,17.86,1.19,0.21,0.06,1.49,0.88,3.63,0.73亿,2.75亿,49.17亿,15.68
7,8,600459,贵研铂业,14.11,1.15,0.16,0.07,0.86,1.23,1.86,0.92亿,7.54亿,106.37亿,18.08
8,9,600456,宝钛股份,29.37,0.89,0.26,-0.07,1.2,1.05,1.99,1.70亿,4.78亿,140.32亿,20.37
9,10,600392,盛和资源,10.66,0.76,0.08,0.0,1.2,1.43,2.93,2.25亿,17.53亿,186.85亿,150.90
10,11,000960,锡业股份,14.45,0.56,0.08,-0.07,0.88,1.01,1.25,2.08亿,16.46亿,237.82亿,13.90
11,12,600259,广晟有色,28.58,0.42,0.12,0.0,0.73,0.93,1.55,0.69亿,3.29亿,94.17亿,--
12,13,002978,安宁股份,29.3,0.41,0.12,-0.03,0.32,0.76,1.34,0.28亿,2.99亿,87.61亿,12.90
13,14,301026,浩通科技,28.19,0.39,0.11,0.0,1.5,0.38,2.24,0.34亿,0.79亿,22.38亿,24.21
14,15,000831,中国稀土,28.87,0.38,0.11,0.07,1.07,0.95,1.91,3.28亿,10.61亿,306.37亿,--
15,16,603663,三祥新材,16.55,0.3,0.05,0.18,1.83,1.15,2.18,1.28亿,4.23亿,69.98亿,68.33
16,17,000962,东方钽业,13.77,0.15,0.02,0.0,2.73,1.19,3.13,1.88亿,4.96亿,68.25亿,33.41
17,18,002428,云南锗业,19.62,0.05,0.01,0.0,3.4,0.69,3.01,4.38亿,6.53亿,128.13亿,326.07
18,19,600111,北方稀土,21.64,-0.14,-0.03,-0.05,0.6,0.93,1.48,4.74亿,36.15亿,782.30亿,144.75
19,20,600549,厦门钨业,19.77,-0.15,-0.03,0.0,0.62,0.91,1.51,1.73亿,14.15亿,279.68亿,16.79
20,21,601958,金钼股份,10.31,-0.39,-0.04,0.1,0.49,1.32,1.45,1.65亿,32.27亿,332.66亿,11.37
21,22,300328,宜安科技,7.83,-0.51,-0.04,0.0,1.76,0.62,3.69,0.96亿,6.86亿,53.74亿,1653.13
22,23,000657,中钨高新,9.68,-0.62,-0.06,0.0,1.17,0.95,1.95,1.42亿,12.47亿,120.74亿,49.18
23,24,002182,宝武镁业,11.8,-2.72,-0.33,0.0,3.95,0.89,3.05,3.68亿,7.79亿,91.89亿,57.09
