,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688187,时代电气,48.01,3.42,1.59,0.15,2.91,2.18,4.22,3.61亿,2.60亿,124.80亿,29.85
1,2,300351,永贵电器,16.66,2.84,0.46,-0.18,4.86,0.93,4.2,2.11亿,2.60亿,43.36亿,40.17
2,3,300923,研奥股份,17.64,2.74,0.47,-0.11,2.39,1.1,3.67,0.17亿,0.40亿,7.11亿,88.75
3,4,605001,威奥股份,5.67,2.35,0.13,0.0,1.35,1.3,3.79,0.30亿,3.93亿,22.28亿,--
4,5,300906,日月明,20.36,2.0,0.4,0.15,1.06,1.1,2.0,0.15亿,0.72亿,14.60亿,28.89
5,6,300011,鼎汉技术,5.64,1.99,0.11,-0.18,1.02,1.07,2.71,0.29亿,5.02亿,28.29亿,163.07
6,7,300594,朗进科技,16.78,1.82,0.3,0.12,2.44,0.94,6.55,0.37亿,0.91亿,15.24亿,--
7,8,300960,通业科技,17.18,1.42,0.24,0.0,1.3,0.7,2.07,0.21亿,0.93亿,15.93亿,--
8,9,300851,交大思诺,23.68,1.41,0.33,0.04,0.97,1.22,2.44,0.11亿,0.46亿,10.93亿,543.62
9,10,688569,铁科轨道,23.69,1.33,0.31,0.04,0.28,1.18,1.8,0.14亿,2.11亿,49.91亿,22.70
10,11,688009,中国通号,5.49,1.1,0.06,-0.36,0.31,1.26,2.21,1.46亿,86.21亿,473.29亿,24.04
11,12,000008,神州高铁,2.12,0.95,0.02,-0.47,0.84,1.02,2.86,0.48亿,26.76亿,56.73亿,--
12,13,001324,长青科技,17.88,0.85,0.15,0.06,1.62,0.93,2.31,0.24亿,0.82亿,14.60亿,44.32
13,14,605298,必得科技,11.66,0.69,0.08,0.0,0.4,0.66,2.59,0.07亿,1.40亿,16.37亿,--
14,15,600495,晋西车轴,3.46,0.58,0.02,0.0,0.49,0.93,1.16,0.20亿,12.08亿,41.80亿,--
15,16,301048,金鹰重工,9.13,0.55,0.05,-0.33,2.47,0.94,2.31,0.30亿,1.33亿,12.17亿,27.60
16,17,688367,工大高科,13.3,0.53,0.07,0.23,0.72,1.13,1.74,0.06亿,0.66亿,8.75亿,208.04
17,18,872541,铁大科技,5.47,0.37,0.02,0.0,2.46,0.99,2.57,0.08亿,0.60亿,3.26亿,15.89
18,19,688285,高铁电气,6.87,0.29,0.02,0.0,0.61,0.79,1.46,0.04亿,0.94亿,6.46亿,--
19,20,002972,科安达,9.72,0.21,0.02,0.0,2.23,0.84,2.17,0.29亿,1.33亿,12.94亿,22.56
20,21,603680,今创集团,7.65,0.13,0.01,0.00,0.18,1.02,2.23,0.11亿,7.84亿,59.95亿,34.55
21,22,601766,中国中车,6.97,0.00,0.00,-0.71,0.40,1.03,1.29,6.80亿,243.28亿,1695.65亿,49.60
22,23,600528,中铁工业,7.79,0.00,0.00,-0.13,0.29,0.67,0.77,0.51亿,22.22亿,173.06亿,9.25
23,24,688459,哈铁科技,9.06,0.00,0.00,-0.11,0.22,0.50,0.55,0.03亿,1.71亿,15.51亿,299.63
24,25,000976,ST华铁,--,--,--,--,--,--,--,--,15.95亿,12.60亿,16.88
25,26,000925,众合科技,6.71,0.00,0.00,0.00,2.50,0.94,2.83,0.92亿,5.48亿,36.78亿,--
26,27,688015,交控科技,19.25,-0.21,-0.04,-0.21,1.57,0.67,2.85,0.57亿,1.89亿,36.32亿,73.14
27,28,603500,祥和实业,7.16,-0.42,-0.03,-0.14,0.55,0.89,0.97,0.13亿,3.40亿,24.37亿,33.48
28,29,301016,雷尔伟,19.99,-2.49,-0.51,0.05,14.29,0.48,4.78,0.86亿,0.30亿,6.00亿,136.25
29,30,603111,康尼机电,6.33,-5.10,-0.34,0.00,4.22,1.16,7.80,2.25亿,8.37亿,52.99亿,32.59
