,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300157,新锦动力,2.48,19.81,0.41,601048,146216228.86,19.32,2.48,2.08,2.08,2.07,8.62,-12.34,-9.17
1,2,600187,国中水务,2.85,10.04,0.26,2543029,717129237.0,5.02,2.85,2.72,2.8,2.59,15.76,443.95,1.46
2,3,002036,联创电子,8.99,10.04,0.82,2040578,1764496745.65,11.02,8.99,8.09,8.69,8.17,19.37,-73.91,3.6
3,4,000068,华控赛格,3.18,10.03,0.29,316009,98875330.78,11.07,3.18,2.86,2.89,2.89,3.14,-28.79,4.97
4,5,000158,常山北明,7.8,10.01,0.71,1996773,1468889058.97,15.51,7.8,6.7,7.09,7.09,12.58,-25.59,2.22
5,6,600981,汇鸿集团,1.87,10.0,0.17,407589,75466319.0,10.0,1.87,1.7,1.7,1.7,1.82,-6.35,0.94
6,7,002058,威尔泰,8.15,9.99,0.74,67512,54332156.95,10.12,8.15,7.4,7.4,7.41,4.72,-75.78,8.64
7,8,000566,海南海药,4.08,9.97,0.37,162253,66199224.0,0.0,4.08,4.08,4.08,3.71,1.39,-13.21,2.84
8,9,000931,中 关 村,4.21,9.92,0.38,99766,41967344.95,2.35,4.21,4.12,4.18,3.83,1.34,43.57,2.02
9,10,300802,矩子科技,13.87,8.19,1.05,110599,158634145.18,11.08,15.02,13.6,14.0,12.82,5.68,44.1,2.47
10,11,603138,海量数据,12.21,6.17,0.71,130319,155896207.0,8.61,12.3,11.31,11.49,11.5,4.6,-74.53,4.31
11,12,300663,科蓝软件,10.83,5.87,0.6,454582,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
12,13,600624,复旦复华,3.51,5.72,0.19,664435,229188168.0,12.65,3.65,3.23,3.32,3.32,9.7,-76.24,3.07
13,14,300634,彩讯股份,14.26,5.24,0.71,223372,311915641.0,7.31,14.34,13.35,13.56,13.55,5.18,27.05,2.45
14,15,603258,电魂网络,17.16,4.76,0.78,105835,176428157.0,7.94,17.35,16.05,16.49,16.38,4.39,35.41,1.85
15,16,603019,中科曙光,35.97,4.2,1.45,312971,1107585245.0,6.66,36.54,34.24,34.52,34.52,2.15,46.73,2.77
16,17,002194,武汉凡谷,8.62,3.98,0.33,333728,282572865.79,6.03,8.66,8.16,8.33,8.29,6.55,98.47,2.34
17,18,600895,张江高科,17.69,3.81,0.65,433738,769518756.0,10.86,18.66,16.81,16.98,17.04,2.8,51.44,2.2
18,19,002591,恒大高新,4.13,3.25,0.13,97751,39781949.0,3.25,4.14,4.01,4.03,4.0,4.37,49.55,1.81
19,20,300687,赛意信息,12.88,3.12,0.39,112909,142537133.32,6.41,12.95,12.15,12.41,12.49,3.47,88.9,1.99
20,21,002315,焦点科技,24.48,3.12,0.74,58107,139972254.8,5.22,24.69,23.45,23.9,23.74,2.88,16.6,3.23
21,22,600892,大晟文化,4.11,3.01,0.12,118992,48244280.0,4.26,4.13,3.96,4.05,3.99,2.13,-73.92,18.38
22,23,002127,南极电商,2.75,3.0,0.08,747031,205717635.0,7.49,2.86,2.66,2.68,2.67,3.75,43.33,1.5
23,24,300543,朗科智能,7.68,2.95,0.22,51457,38896235.74,4.56,7.71,7.37,7.46,7.46,2.43,30.37,2.03
24,25,000948,南天信息,13.49,2.9,0.38,227465,304912395.13,4.73,13.66,13.04,13.18,13.11,5.89,104.71,2.03
25,26,300467,迅游科技,12.66,2.84,0.35,32872,40800807.0,4.55,12.7,12.14,12.35,12.31,1.95,74.68,4.16
26,27,002558,巨人网络,9.51,2.81,0.26,367067,342614128.94,5.84,9.6,9.06,9.32,9.25,1.86,13.08,1.53
27,28,300674,宇信科技,10.86,2.74,0.29,95446,101889137.6,4.73,10.93,10.43,10.6,10.57,1.36,23.46,1.89
28,29,300624,万兴科技,39.77,2.69,1.04,55624,217154313.72,5.32,40.15,38.09,38.92,38.73,3.25,156.98,5.72
29,30,002184,海得控制,8.17,2.64,0.21,22582,18218098.0,3.64,8.21,7.92,8.0,7.96,0.94,-174.57,2.09
30,31,600410,华胜天成,4.03,2.54,0.1,225305,89061771.0,5.09,4.05,3.85,3.96,3.93,2.05,-8.95,1.08
31,32,300148,天舟文化,2.83,2.54,0.07,363434,100925539.0,5.43,2.85,2.7,2.77,2.76,4.53,61.98,2.49
32,33,000913,钱江摩托,16.0,2.5,0.39,80415,126923943.0,4.55,16.09,15.38,15.62,15.61,1.74,12.07,1.83
33,34,600734,实达集团,2.88,2.49,0.07,204031,57923257.0,5.34,2.9,2.75,2.79,2.81,0.97,61.11,14.14
34,35,002148,北纬科技,4.65,2.42,0.11,141704,65007318.37,4.85,4.68,4.46,4.55,4.54,3.15,122.99,2.15
35,36,002152,广电运通,9.37,2.4,0.22,149151,137298024.22,4.81,9.45,9.01,9.16,9.15,0.6,23.35,1.91
36,37,600590,泰豪科技,3.49,2.35,0.08,70583,24251672.0,4.11,3.5,3.36,3.41,3.41,0.84,-25.09,0.87
37,38,603529,爱玛科技,32.02,2.33,0.73,52997,167443864.0,3.64,32.2,31.06,31.29,31.29,0.63,14.51,3.49
38,39,600160,巨化股份,15.01,2.18,0.32,408967,613772643.0,4.42,15.3,14.65,14.69,14.69,1.51,24.29,2.43
39,40,002115,三维通信,4.42,2.08,0.09,168442,73254751.3,4.16,4.43,4.25,4.33,4.33,2.24,519.32,1.52
40,41,002471,中超控股,1.97,2.07,0.04,137472,26791975.0,2.59,1.97,1.92,1.93,1.93,1.09,-66.97,1.65
41,42,002495,佳隆股份,1.49,2.05,0.03,124399,18318608.0,2.74,1.49,1.45,1.46,1.46,1.74,85.32,1.24
42,43,300975,商络电子,7.98,2.05,0.16,218308,173168545.24,3.84,8.05,7.75,7.85,7.82,4.66,74.83,2.6
43,44,002649,博彦科技,8.09,2.02,0.16,92259,73563831.0,3.91,8.12,7.81,8.05,7.93,1.68,31.72,1.15
44,45,000016,深康佳Ａ,2.54,2.01,0.05,529240,133017955.94,4.82,2.56,2.44,2.49,2.49,3.31,-2.81,1.34
45,46,002076,星光股份,1.54,1.99,0.03,109793,16674204.0,2.65,1.54,1.5,1.51,1.51,1.06,857.14,5.27
46,47,002172,澳洋健康,2.6,1.96,0.05,771365,205256957.35,8.24,2.77,2.56,2.62,2.55,10.08,26.67,15.17
47,48,300731,科创新源,14.26,1.93,0.27,24356,34397783.0,3.29,14.36,13.9,13.99,13.99,2.03,317.85,3.02
48,49,000676,智度股份,5.85,1.92,0.11,402175,230897210.73,4.88,5.86,5.58,5.75,5.74,3.18,36.43,1.89
49,50,300045,华力创通,16.13,1.9,0.3,129043,205767152.52,3.41,16.21,15.67,15.93,15.83,2.66,1890.86,6.14
50,51,300221,银禧科技,4.9,1.87,0.09,165354,81046690.69,4.37,5.01,4.8,4.82,4.81,3.65,45.43,1.77
51,52,600825,新华传媒,3.88,1.84,0.07,98184,37728251.0,2.89,3.9,3.79,3.85,3.81,0.94,68.49,1.63
52,53,603000,人民网,17.99,1.81,0.32,120605,214151132.0,4.3,18.13,17.37,17.7,17.67,1.09,622.28,5.6
53,54,300688,创业黑马,22.11,1.75,0.38,19177,41848740.2,3.77,22.21,21.39,21.95,21.73,1.35,-55.08,7.32
54,55,000936,华西股份,5.39,1.7,0.09,129193,68787572.77,3.4,5.41,5.23,5.3,5.3,1.46,30.08,0.92
55,56,002347,泰尔股份,3.6,1.69,0.06,75546,26851695.0,2.82,3.6,3.5,3.56,3.54,1.53,-91.62,1.54
56,57,000607,华媒控股,3.11,1.63,0.05,64698,19808870.0,2.94,3.11,3.02,3.08,3.06,0.74,72.43,1.93
57,58,002451,摩恩电气,5.07,1.6,0.08,42340,21296643.0,2.0,5.07,4.97,4.99,4.99,0.96,117.89,2.95
58,59,603888,新华网,19.55,1.56,0.3,35728,68868850.0,3.53,19.64,18.96,19.29,19.25,0.69,42.88,2.95
59,60,000632,三木集团,2.62,1.55,0.04,86317,22374951.82,2.71,2.63,2.56,2.58,2.58,1.85,82.38,0.78
60,61,002055,得润电子,5.96,1.53,0.09,110474,64797586.97,3.07,5.96,5.78,5.9,5.87,1.87,-19.02,1.43
61,62,600862,中航高科,18.58,1.53,0.28,70087,128136155.0,3.99,18.66,17.93,18.35,18.3,0.5,21.44,3.96
62,63,300032,金龙机电,3.33,1.52,0.05,226624,74638676.0,3.35,3.34,3.23,3.33,3.28,2.82,-35.54,3.59
63,64,300695,兆丰股份,34.2,1.48,0.5,1005,3406779.0,2.11,34.22,33.51,33.71,33.7,0.14,18.29,0.94
64,65,002356,赫美集团,2.74,1.48,0.04,43169,11805501.0,2.96,2.78,2.7,2.7,2.7,0.33,-82.76,6.4
65,66,300031,宝通科技,15.08,1.48,0.22,102671,152079027.84,4.37,15.15,14.5,14.87,14.86,2.94,16.43,1.65
66,67,002425,凯撒文化,2.75,1.48,0.04,241390,65170639.0,4.06,2.75,2.64,2.74,2.71,2.52,-28.18,0.75
67,68,002131,利欧股份,1.4,1.45,0.02,394012,54572545.28,2.17,1.4,1.37,1.39,1.38,0.67,-6.37,0.74
68,69,300295,三六五网,9.9,1.43,0.14,161281,159326879.0,4.1,10.1,9.7,9.95,9.76,9.63,138.03,1.54
69,70,002524,光正眼科,3.59,1.41,0.05,502332,180350808.76,6.78,3.72,3.48,3.72,3.54,9.88,730.53,6.34
70,71,600128,苏豪弘业,6.57,1.39,0.09,49212,32135456.0,3.09,6.64,6.44,6.5,6.48,1.99,41.53,0.77
71,72,300300,ST峡创,1.46,1.39,0.02,233515,33477005.32,3.47,1.46,1.41,1.44,1.44,3.5,-17.22,6.12
72,73,300279,和晶科技,4.44,1.37,0.06,79016,34643573.8,2.97,4.45,4.32,4.39,4.38,1.72,34.29,2.28
73,74,002042,华孚时尚,2.97,1.37,0.04,124026,36366185.25,4.1,3.0,2.88,2.94,2.93,0.73,56.37,0.84
74,75,000839,中信国安,2.26,1.35,0.03,140796,31531592.75,2.24,2.26,2.21,2.23,2.23,0.36,28.19,7.47
75,76,002247,聚力文化,1.53,1.32,0.02,129250,19579389.0,3.31,1.54,1.49,1.51,1.51,2.01,2.93,2.08
76,77,300456,赛微电子,14.66,1.31,0.19,116833,169078223.42,4.56,14.86,14.2,14.55,14.47,1.97,-125.79,2.12
77,78,600894,广日股份,10.3,1.28,0.13,72059,73634619.0,2.56,10.34,10.08,10.18,10.17,0.84,19.21,0.99
78,79,300291,百纳千成,4.03,1.26,0.05,117602,46536715.66,3.52,4.04,3.9,3.99,3.98,1.27,-64.28,1.07
79,80,603825,华扬联众,8.23,1.23,0.1,46241,37649794.0,2.95,8.25,8.01,8.13,8.13,1.83,-10.16,2.44
80,81,002126,银轮股份,16.53,1.22,0.2,52011,85549903.0,2.27,16.64,16.27,16.37,16.33,0.67,16.98,2.34
81,82,002492,恒基达鑫,4.24,1.19,0.05,19568,8263250.34,2.86,4.28,4.16,4.19,4.19,0.49,22.04,1.03
82,83,300389,艾比森,9.43,1.18,0.11,39389,36596738.0,3.76,9.49,9.14,9.27,9.32,1.69,19.58,2.39
83,84,001896,豫能控股,3.43,1.18,0.04,89102,30304747.0,2.36,3.44,3.36,3.4,3.39,0.67,-61.03,1.64
84,85,002955,鸿合科技,21.5,1.18,0.25,16471,34752811.0,4.38,21.64,20.71,21.28,21.25,0.88,17.0,1.46
85,86,600493,凤竹纺织,4.32,1.17,0.05,37124,15950438.0,1.64,4.33,4.26,4.28,4.27,1.36,97.42,1.09
86,87,300360,炬华科技,13.83,1.17,0.16,39030,53513583.56,2.78,13.9,13.52,13.79,13.67,0.78,10.41,1.91
87,88,600387,*ST海越,2.6,1.17,0.03,23207,6030412.0,2.72,2.64,2.57,2.57,2.57,0.57,26.51,0.42
88,89,605136,丽人丽妆,6.12,1.16,0.07,83548,50830764.0,4.3,6.26,6.0,6.04,6.05,2.09,454.85,0.98
89,90,300370,安控科技,1.77,1.14,0.02,127857,22610385.0,3.43,1.8,1.74,1.76,1.75,0.97,-41.03,4.72
90,91,000938,紫光股份,18.84,1.13,0.21,382520,711079237.94,4.46,19.09,18.26,18.71,18.63,1.34,26.93,1.56
91,92,600235,民丰特纸,4.54,1.11,0.05,32060,14396847.0,2.0,4.54,4.45,4.49,4.49,0.91,16.47,1.07
92,93,002580,圣阳股份,6.36,1.11,0.07,69024,43511561.0,2.38,6.38,6.23,6.35,6.29,1.53,12.55,1.38
93,94,002063,远光软件,4.55,1.11,0.05,159524,71446033.29,3.78,4.57,4.4,4.51,4.5,0.91,76.77,2.48
94,95,300335,迪森股份,3.82,1.06,0.04,42849,16197201.0,2.65,3.83,3.73,3.79,3.78,1.11,24.99,0.96
95,96,002350,北京科锐,4.8,1.05,0.05,36922,17566911.25,2.32,4.81,4.7,4.76,4.75,0.7,-109.9,1.55
96,97,300007,汉威科技,12.6,1.04,0.13,38087,47348138.13,3.05,12.65,12.27,12.48,12.47,1.35,39.97,1.45
